status,key,metric_or_ref_shape,candidate_shape,note
report,backbone_strict_load,,,
metric,matched_key_count,199,,
metric,missing_key_count,0,,
metric,unexpected_key_count,0,,
metric,shape_mismatch_count,0,,
metric,matched_tensor_ratio,1.0,,
metric,matched_param_ratio,1.0,,
,,,,
matched,embeddings.LayerNorm.bias,,,
matched,embeddings.LayerNorm.weight,,,
matched,embeddings.position_embeddings.weight,,,
matched,embeddings.token_type_embeddings.weight,,,
matched,embeddings.word_embeddings.weight,,,
matched,encoder.layer.0.attention.output.LayerNorm.bias,,,
matched,encoder.layer.0.attention.output.LayerNorm.weight,,,
matched,encoder.layer.0.attention.output.dense.bias,,,
matched,encoder.layer.0.attention.output.dense.weight,,,
matched,encoder.layer.0.attention.self.key.bias,,,
matched,encoder.layer.0.attention.self.key.weight,,,
matched,encoder.layer.0.attention.self.query.bias,,,
matched,encoder.layer.0.attention.self.query.weight,,,
matched,encoder.layer.0.attention.self.value.bias,,,
matched,encoder.layer.0.attention.self.value.weight,,,
matched,encoder.layer.0.intermediate.dense.bias,,,
matched,encoder.layer.0.intermediate.dense.weight,,,
matched,encoder.layer.0.output.LayerNorm.bias,,,
matched,encoder.layer.0.output.LayerNorm.weight,,,
matched,encoder.layer.0.output.dense.bias,,,
matched,encoder.layer.0.output.dense.weight,,,
matched,encoder.layer.1.attention.output.LayerNorm.bias,,,
matched,encoder.layer.1.attention.output.LayerNorm.weight,,,
matched,encoder.layer.1.attention.output.dense.bias,,,
matched,encoder.layer.1.attention.output.dense.weight,,,
matched,encoder.layer.1.attention.self.key.bias,,,
matched,encoder.layer.1.attention.self.key.weight,,,
matched,encoder.layer.1.attention.self.query.bias,,,
matched,encoder.layer.1.attention.self.query.weight,,,
matched,encoder.layer.1.attention.self.value.bias,,,
matched,encoder.layer.1.attention.self.value.weight,,,
matched,encoder.layer.1.intermediate.dense.bias,,,
matched,encoder.layer.1.intermediate.dense.weight,,,
matched,encoder.layer.1.output.LayerNorm.bias,,,
matched,encoder.layer.1.output.LayerNorm.weight,,,
matched,encoder.layer.1.output.dense.bias,,,
matched,encoder.layer.1.output.dense.weight,,,
matched,encoder.layer.10.attention.output.LayerNorm.bias,,,
matched,encoder.layer.10.attention.output.LayerNorm.weight,,,
matched,encoder.layer.10.attention.output.dense.bias,,,
matched,encoder.layer.10.attention.output.dense.weight,,,
matched,encoder.layer.10.attention.self.key.bias,,,
matched,encoder.layer.10.attention.self.key.weight,,,
matched,encoder.layer.10.attention.self.query.bias,,,
matched,encoder.layer.10.attention.self.query.weight,,,
matched,encoder.layer.10.attention.self.value.bias,,,
matched,encoder.layer.10.attention.self.value.weight,,,
matched,encoder.layer.10.intermediate.dense.bias,,,
matched,encoder.layer.10.intermediate.dense.weight,,,
matched,encoder.layer.10.output.LayerNorm.bias,,,
matched,encoder.layer.10.output.LayerNorm.weight,,,
matched,encoder.layer.10.output.dense.bias,,,
matched,encoder.layer.10.output.dense.weight,,,
matched,encoder.layer.11.attention.output.LayerNorm.bias,,,
matched,encoder.layer.11.attention.output.LayerNorm.weight,,,
matched,encoder.layer.11.attention.output.dense.bias,,,
matched,encoder.layer.11.attention.output.dense.weight,,,
matched,encoder.layer.11.attention.self.key.bias,,,
matched,encoder.layer.11.attention.self.key.weight,,,
