hidden_index,encoder_layer,cos_micro,l2_micro,cos_macro,l2_macro
0,,0.9999823327653895,0.08905685660589946,0.9999130543200838,0.06699806261301315
1,0.0,0.9997283556264288,0.4440683110759661,0.9992650648074357,0.3531207476750737
2,1.0,0.9991936641795683,0.7732845430267331,0.9987614343426682,0.5335066374101027
3,2.0,0.9986448324825351,0.9523743297862768,0.9981881422493667,0.6342761925581306
4,3.0,0.9980438535738827,1.2381562018765366,0.9976500746512998,0.8754471173960241
5,4.0,0.9970327491241817,1.5474936779375275,0.9966125325581409,1.1410525594715657
6,5.0,0.9964037669676558,1.7672281574343416,0.9963144989652487,1.2892392194683635
7,6.0,0.9944092700540178,2.090019707596144,0.9934708618359184,1.5357061452078642
8,7.0,0.9913301330123776,2.386420520728087,0.9886703824377722,1.7659936928756572
9,8.0,0.9872823065534729,2.789879927233083,0.9828514403289547,2.1175771895703726
10,9.0,0.9818533780789572,3.1988609826932977,0.9757653954884862,2.419458693366577
11,10.0,0.9776109996785247,3.363956478934917,0.9690896949131172,2.477376510286751
12,11.0,0.9759318504169656,4.582326204394016,0.9769232225758937,3.4146106092593573
