text_id,from_encoder_layer,to_encoder_layer,logit_l2_change,prob_change
t0,0,1,0.026292730454045284,0.012167751789093018
t0,1,2,0.06669978432735316,0.04685297608375549
t0,2,3,0.07698771647016922,0.022505134344100952
t0,3,4,0.0856251462399892,0.05352911353111267
t0,4,5,0.08334346035613777,0.01973623037338257
t0,5,6,0.14471663887325092,0.04636991024017334
t0,6,7,0.15064151392490124,0.10387790203094482
t0,7,8,0.03136537107998823,0.020787984132766724
t0,8,9,0.06978373635490688,0.01233413815498352
t0,9,10,0.1010827121682926,0.058100104331970215
t0,10,11,0.4062631395448677,0.017080724239349365
t1,0,1,0.1145694743472744,0.07985073328018188
t1,1,2,0.07598986547575487,0.049049824476242065
t1,2,3,0.07346309761149687,0.02335771918296814
t1,3,4,0.13542626096902624,0.09456238150596619
t1,4,5,0.06647370476628688,0.020598679780960083
t1,5,6,0.10070946985737764,0.01670992374420166
t1,6,7,0.0930092841590605,0.004154711961746216
t1,7,8,0.153671901010109,0.10408064723014832
t1,8,9,0.08191350535034726,0.05156815052032471
t1,9,10,0.16970829301165502,0.03586271405220032
t1,10,11,0.6037145511753423,0.17386460304260254
t2,0,1,0.008996976760878178,0.005786269903182983
t2,1,2,0.06594279372855784,0.025805115699768066
t2,2,3,0.21209842610555685,0.1490509808063507
t2,3,4,0.12203661717466553,0.016562551259994507
t2,4,5,0.11161612197088933,0.00637933611869812
t2,5,6,0.16523929981876886,0.11494883894920349
t2,6,7,0.04883579174782385,0.028405189514160156
t2,7,8,0.04571746529689058,0.031518787145614624
t2,8,9,0.06338074949030884,0.04215309023857117
t2,9,10,0.1154707070879337,0.03522878885269165
t2,10,11,0.6888151084104526,0.04321861267089844
t3,0,1,0.13887720178981094,0.0895586609840393
t3,1,2,0.061855920427815514,0.038442760705947876
t3,2,3,0.1601161876681219,0.10423940420150757
t3,3,4,0.16622404707514568,0.02841600775718689
t3,4,5,0.14164221505491803,0.06868448853492737
t3,5,6,0.19372071553344514,0.07392200827598572
t3,6,7,0.10282591824259138,0.005568891763687134
t3,7,8,0.09906721457715342,0.05454561114311218
t3,8,9,0.01833244602557411,0.0015774071216583252
t3,9,10,0.16529701524275903,0.05609065294265747
t3,10,11,0.2695306506819209,0.04996928572654724
t4,0,1,0.12697535582138827,0.07838413119316101
t4,1,2,0.06150546179793217,0.031026870012283325
t4,2,3,0.04249127334054881,0.016013890504837036
t4,3,4,0.06288581677342941,0.023489564657211304
t4,4,5,0.10106144381502292,0.0153273344039917
t4,5,6,0.07140398596899122,0.030354052782058716
t4,6,7,0.07440458479426953,0.020262926816940308
t4,7,8,0.07230995469092028,0.04433581233024597
t4,8,9,0.07484422399365571,0.042153775691986084
t4,9,10,0.21803070545385678,0.013019740581512451
t4,10,11,0.5637302009143105,0.13482117652893066
