encoder_layer,hidden_index,local_cos,local_mean_l2
0,1,0.9997283556264288,0.4440683110759661
1,2,0.9991936641795683,0.7732845430267331
2,3,0.9986448324825351,0.9523743297862768
3,4,0.9980438535738827,1.2381562018765366
4,5,0.9970327491241817,1.5474936779375275
5,6,0.9964037669676558,1.7672281574343416
6,7,0.9944092700540178,2.090019707596144
7,8,0.9913301330123776,2.386420520728087
8,9,0.9872823065534729,2.789879927233083
9,10,0.9818533780789572,3.1988609826932977
10,11,0.9776109996785247,3.363956478934917
11,12,0.9759318504169656,4.582326204394016
