encoder_layer,hidden_index,delta_l2_layer,base_l2_layer,relative_l2_layer,mae_layer,max_abs_delta_layer,mean_cosine
0,1,0.3745851734179543,106.31651118805848,0.0035233019709927037,0.00011146405580221649,0.0009518284350633621,0.9999935321336012
1,2,0.3838617696709191,105.3405974278899,0.0036440060056967946,0.00011390635883524336,0.001006048172712326,0.9999930113133768
2,3,0.38967695489960236,106.96957467897785,0.003642876547551455,0.00011535172259328616,0.0010587992146611214,0.9999929337366859
3,4,0.3938514980604101,106.64648503589852,0.0036930565309099012,0.00011678496180438333,0.0011539515107870102,0.999992964602043
4,5,0.3987509712931738,108.46653867930364,0.003676257914637954,0.00011776358539011814,0.001153022050857544,0.9999931694664984
5,6,0.4070279232043407,109.91386338296918,0.00370315363937438,0.00011983249159090156,0.0011240197345614433,0.9999928122569486
6,7,0.4067699512602932,110.55348840918447,0.0036793949889192272,0.00011893533481036396,0.0012314021587371826,0.99999309859191
7,8,0.4147245333649428,107.91503670228327,0.0038430653043198012,0.0001205128282107936,0.0013328157365322113,0.999992947707197
8,9,0.4346849183242821,108.1845035318508,0.0040179961467060364,0.00012446878525167144,0.00137099894345738,0.9999917175405638
9,10,0.4384083803606592,108.81325975132005,0.004028997765185881,0.00012162072407481901,0.0014884620904922485,0.9999906353328066
10,11,0.43724413907673443,105.01054092009625,0.004163811892078898,0.0001212644019452064,0.0014639506116509438,0.9999903290327374
11,12,0.40389830078380046,98.82940700058576,0.004086823072624594,0.00011600718821497617,0.001050792634487152,0.9999918867184855
