encoder_layer,hidden_index,component,numel,base_l2,delta_l2,relative_l2,mean_abs_delta,max_abs_delta,cosine
0,1,attention.self.query.weight,589824,36.36047159640611,0.1024092072753276,0.0028164983230154197,0.00010631125720647445,0.0006485516205430031,0.9999960362150965
0,1,attention.self.key.weight,589824,36.90445884014616,0.10093080579639978,0.0027349217132159424,0.00010482464315047355,0.0006634816527366638,0.9999962618756288
0,1,attention.self.value.weight,589824,24.931966838877447,0.10699779766931607,0.004291590726106293,0.00011081039629701341,0.0006841655122116208,0.9999907934469286
0,1,attention.output.dense.weight,589824,25.458921199777357,0.10628435517046395,0.004174739154752301,0.00010980062150675094,0.0006497837603092194,0.9999912882028059
0,1,intermediate.dense.weight,2359296,61.547356402645114,0.2223732348754729,0.0036130428319406417,0.00011463196407663934,0.0008510220795869827,0.9999934736747027
0,1,output.dense.weight,2359296,59.676970892781476,0.21781788356794723,0.0036499487207433726,0.00011182347378983201,0.0009518284350633621,0.9999933393864447
1,2,attention.self.query.weight,589824,34.1941920785073,0.10622273853156809,0.0031064555725629855,0.00011003326115539804,0.0007308870553970337,0.9999951759326422
1,2,attention.self.key.weight,589824,34.61182662998449,0.1037411022794445,0.0029972732554245716,0.00010752404656586779,0.0006536394357681274,0.9999955089905351
1,2,attention.self.value.weight,589824,25.03716141512636,0.11057160579731581,0.0044162995941909484,0.00011433406032355868,0.0008350610733032227,0.9999902496960527
1,2,attention.output.dense.weight,589824,24.516060162146896,0.10566111489862501,0.004309873372792872,0.00010885679692053584,0.0007333196699619293,0.9999907136386338
1,2,intermediate.dense.weight,2359296,63.146378149337515,0.23327336128366746,0.0036941685037262077,0.00011995298579076904,0.001006048172712326,0.999993177645412
1,2,output.dense.weight,2359296,59.2794941014056,0.2179393480691173,0.0036764711199508983,0.00011157904947362098,0.000979892909526825,0.999993241976985
2,3,attention.self.query.weight,589824,35.15102825464889,0.10751508545311682,0.003058661176971329,0.00011133789812394465,0.0008014664053916931,0.9999953235485445
